time,value
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,1
2005-05-01,0
2005-06-01,0
2005-07-01,7
2005-08-01,16
2005-09-01,7
2005-10-01,0
2005-11-01,4
2005-12-01,7
2006-01-01,3
2006-02-01,4
2006-03-01,0
2006-04-01,3
2006-05-01,3
2006-06-01,37
2006-07-01,5
2006-08-01,14
2006-09-01,28
2006-10-01,0
2006-11-01,1
2006-12-01,8
2007-01-01,0
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,1
2007-06-01,0
2007-07-01,3
2007-08-01,2
2007-09-01,0
2007-10-01,0
2007-11-01,0
2007-12-01,0
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,2
2008-05-01,0
2008-06-01,0
2008-07-01,4
2008-08-01,0
2008-09-01,4
2008-10-01,3
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,7
2009-04-01,3
2009-05-01,2
2009-06-01,0
2009-07-01,6
2009-08-01,3
2009-09-01,0
2009-10-01,1
2009-11-01,1
2009-12-01,1
