time,value
2010-01-01,27
2010-02-01,0
2010-03-01,30
2010-04-01,17
2010-05-01,9
2010-06-01,21
2010-07-01,6
2010-08-01,5
2010-09-01,12
2010-10-01,131
2010-11-01,15
2010-12-01,2
2011-01-01,20
2011-02-01,14
2011-03-01,26
2011-04-01,15
2011-05-01,5
2011-06-01,16
2011-07-01,5
2011-08-01,5
2011-09-01,99
2011-10-01,20
2011-11-01,7
2011-12-01,16
2012-01-01,9
2012-02-01,7
2012-03-01,23
2012-04-01,8
2012-05-01,5
2012-06-01,6
2012-07-01,0
2012-08-01,12
2012-09-01,42
2012-10-01,61
2012-11-01,20
2012-12-01,14
2013-01-01,11
2013-02-01,15
2013-03-01,5
2013-04-01,24
2013-05-01,32
2013-06-01,46
2013-07-01,32
2013-08-01,77
2013-09-01,19
2013-10-01,13
2013-11-01,31
2013-12-01,8
2014-01-01,11
2014-02-01,21
2014-03-01,40
2014-04-01,9
2014-05-01,26
2014-06-01,40
2014-07-01,9
2014-08-01,2
2014-09-01,19
2014-10-01,7
2014-11-01,22
2014-12-01,22
2015-01-01,16
2015-02-01,30
2015-03-01,39
2015-04-01,13
2015-05-01,22
2015-06-01,37
2015-07-01,8
2015-08-01,27
2015-09-01,4
2015-10-01,22
2015-11-01,8
2015-12-01,2
2016-01-01,13
2016-02-01,9
2016-03-01,32
2016-04-01,45
2016-05-01,15
2016-06-01,10
2016-07-01,31
2016-08-01,41
2016-09-01,33
2016-10-01,11
2016-11-01,10
2016-12-01,4
2017-01-01,18
2017-02-01,5
2017-03-01,27
2017-04-01,6
2017-05-01,14
2017-06-01,86
2017-07-01,13
2017-08-01,14
2017-09-01,34
2017-10-01,36
2017-11-01,29
2017-12-01,3
2018-01-01,45
2018-02-01,22
2018-03-01,51
2018-04-01,15
2018-05-01,15
2018-06-01,63
2018-07-01,7
2018-08-01,7
2018-09-01,16
2018-10-01,16
2018-11-01,27
2018-12-01,23
2019-01-01,45
2019-02-01,23
2019-03-01,20
2019-04-01,39
2019-05-01,29
2019-06-01,16
2019-07-01,9
2019-08-01,20
2019-09-01,35
2019-10-01,27
2019-11-01,15
2019-12-01,15
2020-01-01,13
2020-02-01,9
2020-03-01,4
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,17
2020-09-01,5
2020-10-01,12
2020-11-01,4
2020-12-01,24
2021-01-01,1
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,2
2021-06-01,0
2021-07-01,4
2021-08-01,4
2021-09-01,53
2021-10-01,5
2021-11-01,8
2021-12-01,0
2022-02-01,10
2022-03-01,46
2022-04-01,15
2022-05-01,5
2022-06-01,11
2022-07-01,20
2022-08-01,14
2022-09-01,22
2022-10-01,39
2022-11-01,9
2022-12-01,0
2023-01-01,3
2023-02-01,27
2023-03-01,20
2023-04-01,1
2023-05-01,27
2023-06-01,20
2023-07-01,43
2023-08-01,36
2023-09-01,36
2023-10-01,23
2023-11-01,8
2023-12-01,25
2024-01-01,3
2024-02-01,12
2024-03-01,14
2024-04-01,22
